Rangliste, da Importe von der Größe aufsteigend sortiert sind;
;
Jahr;Importe
1953;8186
1952;8284
1954;9887
1955;12512
1956;14298
1958;15918
1957;16206
1959;18316
1960;21844
1961;22682
1962;25308
1963;26729
1964;30084
1967;35884
1965;36019
1966;37156
1968;41506
1969;50092
1970;56041
1971;61416
1972;65826
1973;74351
1974;91896
1975;94238
1976;113595
1977;120245
1978;124605
1979;149318
1980;174545
1981;188758
1982;192483
1983;199502
1987;209446
1986;211544
1984;222032
1988;224769
1985;237143
1989;258951
1993;289644
1990;293215
1994;315444
1992;325972
1991;329228
1995;339618
1996;352995
1997;394794
1998;423452
1999;444797
2002;518532
2003;534534
2000;538311
2001;542774
2004;575448
2005;628087
2009;664615
2006;733994
2007;769887
2010;797097
2008;805842
2013;890393
2012;899405
2011;902523
2014;910145
2015;949245
2016;954917
2020;1026502
2017;1031013
2018;1088720
2019;1104141
2021;1203174
