Jahr;Importe;;Key;Jahr
1;1203174;;1;2021
2;Super;;2;2020
3;1104141;;3;2019
4;1088720;;4;2018
5;1031013;;5;2017
6;954917;;6;2016
7;949245;;7;2015
8;910145;;8;2014
9;890393;;9;2013
10;899405;;10;2012
11;Nan;;11;2011
12;797097;;12;2010
13;664615;;13;2009
14;805842;;14;2008
15;769887;;15;2007
16;733994;;16;2006
17;628087;;17;2005
18;575448;;18;2004
19;Hallo;;19;2003
20;518532;;20;2002
21;542774;;21;2001
22;538311;;22;2000
23;444797;;23;1999
24;423452;;24;1998
25;394794;;25;1997
26;352995;;26;1996
27;339618;;27;1995
28;315444;;28;1994
29;289644;;29;1993
30;325972;;30;1992
31;329228;;31;1991
32;293215;;32;1990
33;258951;;33;1989
34;224769;;34;1988
35;209446;;35;1987
36;211544;;36;1986
37;237143;;37;1985
38;222032;;38;1984
39;199502;;39;1983
40;Nan;;40;1982
41;188758;;41;1981
42;174545;;42;1980
43;149318;;43;1979
44;124605;;44;1978
45;120245;;45;1977
46;113595;;46;1976
47;94238;;47;1975
48;91896;;48;1974
49;74351;;49;1973
50;65826;;50;1972
51;61416;;51;1971
52;56041;;52;1970
53;50092;;53;1969
54;41506;;54;1968
55;35884;;55;1967
56;37156;;56;1966
57;36019;;57;1965
58;30084;;58;1964
59;26729;;59;1963
60;Hilfe ;;60;1962
61;22682;;61;1961
62;21844;;62;1960
63;18316;;63;1959
64;15918;;64;1958
65;16206;;65;1957
66;14298;;66;1956
67;12512;;67;1955
68;9887;;68;1954
69;8186;;69;1953
70;8284;;70;1952
